CC,Website,Keytext in URL,Type of page
MY,technave.com,Price-in-Malaysia,PDP
MY,technave.com,offers,Promo
MY,technave.com,/article,Article
MY,technave.com,news,Article
MY,technave.com,review,Article
MY,technave.com,tag,Tags
MY,technave.com,/index.php?,Search
MY,technave.com,Price-Malaysia,Listing
MY,technave.com,/gadgets/,Article
MY,technave.com,/gadget/,Article
MY,technave.com,/telco/,Listing
MY,technave.com,/,Homepage
MY,www.hermo.my,/mall/,PDP
MY,www.hermo.my,/brand,Listing-brand
MY,www.hermo.my,/deals,Promo
MY,www.hermo.my,/search?,Search
MY,www.hermo.my,/?sort,Sort
MY,www.hermo.my,/,Homepage
MY,www.hermo.my,excluded above,Listing
MY,www.sephora.my,/brands,Listing-brand
MY,www.sephora.my,/categories,Listing-category
MY,www.sephora.my,/pages,Buyer guide
MY,www.sephora.my,/products,PDP
MY,www.sephora.my,/sale,Promo
MY,www.sephora.my,/,Homepage
MY,www.sephora.my,excluded above,Listing
MY,www.zalora.com.my,.html,PDP
MY,www.zalora.com.my,/,Homepage
MY,www.zalora.com.my,excluded above,Listing
MY,www.lazada.com.my,.html,PDP
MY,www.lazada.com.my,/shop,Merchant
MY,www.lazada.com.my,/voucher,Voucher
MY,www.lazada.com.my,/catalog/?q=,Search
MY,www.lazada.com.my,/,Homepage
MY,iprice.my,/trends,Article
MY,iprice.my,/compare/,PDP
MY,iprice.my,/coupons/,Coupons
MY,iprice.my,/,Homepage
MY,iprice.my,excluded above,Listing
PH,ph.priceprice.com,/merchants/,Merchant
PH,ph.priceprice.com,/sellers/,Merchant
PH,ph.priceprice.com,/forum/,Forum
PH,ph.priceprice.com,/news/,Article
PH,ph.priceprice.com,/reviews/,PDP-review
PH,ph.priceprice.com,/specs/,PDP-specs
PH,ph.priceprice.com,/?,Listing
PH,ph.priceprice.com,/,Homepage
PH,iprice.ph,/trends,Article
PH,iprice.ph,/compare/,PDP
PH,iprice.ph,/coupons/,Coupons
PH,iprice.ph,/,Homepage
PH,iprice.ph,excluded above,Listing
SG,www.pricepanda.com.sg,/shop/,Merchant
SG,www.pricepanda.com.sg,productlistingpage.aspx,Listing
SG,www.pricepanda.com.sg,/products-,Tags
SG,www.pricepanda.com.sg,.html,PDP
SG,www.pricepanda.com.sg,/,Homepage
SG,iprice.sg,/trends,Article
SG,iprice.sg,/compare/,PDP
SG,iprice.sg,/coupons/,Coupons
SG,iprice.sg,/,Homepage
SG,iprice.sg,excluded above,Listing
SG,ipricethailand.com,/เทรนด/,Article
SG,ipricethailand.com,/ราคา/,PDP
SG,ipricethailand.com,/coupons/,Coupons
SG,ipricethailand.com,/,Homepage
SG,ipricethailand.com,excluded above,Listing
SG,www.qoo10.sg,/item/,PDP
SG,www.qoo10.sg,/shop/,Merchant
SG,www.qoo10.sg,/gmkt.inc/,Deal & Event
SG,www.qoo10.sg,/s/,Search
SG,www.qoo10.sg,/,Homepage
SG,www.qoo10.sg,excluded above,Listing
TH,www.priceza.com,/merchant,Merchant
TH,www.priceza.com,/promotion,Coupons
TH,www.priceza.com,/s/,Search
TH,www.priceza.com,/guide/,Article
TH,www.priceza.com,/compare/,Compare
TH,www.priceza.com,/brand/,Listing
TH,www.priceza.com,/b/,Listing
TH,www.priceza.com,/c/,Listing
TH,www.priceza.com,/k/,Listing
TH,www.priceza.com,/p/,PDP
TH,www.siamphone.com,/price,Merchant
TH,www.siamphone.com,/article,Article
TH,www.siamphone.com,/news/,Article
TH,www.siamphone.com,/review/,Article
TH,www.siamphone.com,/search/,Search
TH,www.siamphone.com,.html,PDP
TH,www.siamphone.com,excluded above,Listing
VN,websosanh.vn,/cua-hang/,Merchant
VN,websosanh.vn,/meo-vat/,Article
VN,websosanh.vn,/tai-chinh/,Article
